team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Chicago,New Orleans,11/5/23,20.048,23.578,43.626,0.403,0.597,17,24,41,New Orleans,,Win,42,Over,Loss,,
Washington,New England,11/5/23,21.621,20.994,42.615,0.516,0.484,20,17,37,Washington,,Win,41,Over,Loss,,
Tampa Bay,Houston,11/5/23,19.535,19.495,39.03,0.5,0.5,37,39,76,Tampa Bay,,Loss,40,Under,Loss,,
LA Rams,Green Bay,11/5/23,21,21.829,42.829,0.477,0.523,3,20,23,Green Bay,,Win,38,Over,Loss,,
Arizona,Cleveland,11/5/23,20.282,23.925,44.207,0.398,0.602,0,27,27,Cleveland,,Win,38,Over,Loss,,
Seattle,Baltimore,11/5/23,20.148,22.497,42.646,0.435,0.565,3,37,40,Baltimore,,Win,44,Under,Win,,
Minnesota,Atlanta,11/5/23,22.378,21.054,43.432,0.537,0.463,31,28,59,Minnesota,,Win,37.5,Over,Win,,
Indianapolis,Carolina,11/5/23,23.168,22.735,45.903,0.512,0.488,27,13,40,Indianapolis,,Win,45,Over,Loss,,
NY Giants,Las Vegas,11/5/23,19.93,21.224,41.154,0.463,0.537,6,30,36,Las Vegas,,Win,37.5,Over,Loss,,
Dallas,Philadelphia,11/5/23,23.808,22.92,46.728,0.526,0.474,23,28,51,Dallas,,Loss,47,Under,Loss,,
Buffalo,Cincinnati,11/5/23,23.617,20.018,43.635,0.6,0.4,18,24,42,Buffalo,,Loss,50.5,Under,Win,,
LA Chargers,NY Jets,11/6/23,21.137,20.417,41.554,0.521,0.479,27,6,33,LA Chargers,,Win,39.5,Over,Loss,,
Panthers,Bears,11/9/23,22.641,22.456,45.096,0.506,0.494,13,16,29,Panthers,,Loss,46,Under,Win,,
Indianapolis,New England,11/7/23 11:38,22.113,21.753,43.866,0.51,0.49,10,6,16,Indianapolis,Indianapolis,Win,43.5,Over,Loss,,
Tennessee,Tampa Bay,11/7/23 11:38,19.558,19.76,39.317,0.494,0.506,6,20,26,Tampa Bay,Tampa Bay,Win,38.5,Over,Loss,,
Green Bay,Pittsburgh,11/7/23 11:38,20.648,19.02,39.668,0.546,0.454,19,23,42,Green Bay,Pittsburgh,Loss,39,Over,Win,,
New Orleans,Minnesota,11/7/23 11:38,21.858,21.671,43.529,0.505,0.495,19,27,46,New Orleans,Minnesota,Loss,41,Over,Win,,
San Francisco,Jacksonville,11/7/23 11:38,23.323,20.406,43.729,0.582,0.418,34,3,37,San Francisco,San Francisco,Win,46.5,Under,Win,,
Houston,Cincinnati,11/7/23 11:38,20.075,22.6,42.675,0.43,0.57,30,27,57,Cincinnati,Houston,Loss,48,Under,Loss,,
Cleveland,Baltimore,11/7/23 11:38,18.894,21.625,40.519,0.423,0.577,33,31,64,Baltimore,Cleveland,Loss,37.5,Over,Win,,
Atlanta,Arizona,11/7/23 11:38,23.015,20.12,43.134,0.581,0.419,23,25,48,Atlanta,Arizona,Loss,42.5,Over,Win,,
Detroit,LA Chargers,11/7/23 11:38,24.067,23.54,47.606,0.515,0.485,41,38,79,Detroit,Detroit,Win,48.5,Under,Loss,,
NY Giants,Dallas,11/7/23 11:38,17.59,25.232,42.823,0.294,0.706,17,49,66,Dallas,Dallas,Win,38.5,Over,Win,,
Washington,Seattle,11/7/23 11:38,21.591,23.169,44.76,0.455,0.545,26,29,55,Seattle,Seattle,Win,46.5,Under,Loss,,
NY Jets,Las Vegas,11/7/23 11:38,19.745,19.641,39.385,0.503,0.497,12,16,28,NY Jets,Las Vegas,Loss,36,Over,Loss,,
Denver,Buffalo,11/7/23 11:38,18.821,25.92,44.741,0.308,0.692,24,22,46,Buffalo,Denver,Loss,47,Under,Win,,
Cincinnati,Baltimore,11/14/23 11:38,19.897,22.015,41.912,0.441,0.559,20,34,54,Baltimore,Baltimore,Win,46,Under,Loss,,
