team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Miami,Baltimore,2023-12-26 12:10:29,21.909,23.286,45.195,0.462,0.538,19,56,75,Baltimore,Baltimore,Win,47.0,Under,Loss
Pittsburgh,Seattle,2023-12-26 12:10:30,20.574,21.207,41.781,0.482,0.518,30,23,53,Seattle,Pittsburgh,Loss,41.5,Over,Win
LA Chargers,Denver,2023-12-26 12:10:30,22.823,21.482,44.306,0.538,0.462,9,16,25,LA Chargers,Denver,Loss,38.5,Over,Loss
Cincinnati,Kansas City,2023-12-26 12:10:30,21.629,23.397,45.026,0.45,0.55,17,25,42,Kansas City,Kansas City,Win,45.5,Under,Win
Green Bay,Minnesota,2023-12-26 12:10:30,22.323,22.42,44.743,0.497,0.503,33,10,43,Minnesota,Green Bay,Loss,45.5,Under,Win
Pittsburgh,Baltimore,2024-01-02 12:11:15,17.799,22.361,40.16,0.374,0.626,17,10,27,Baltimore,Pittsburgh,Loss,37.5,Over,Loss
Houston,Indianapolis,2024-01-02 12:11:15,22.019,21.514,43.533,0.514,0.486,23,19,42,Houston,Houston,Win,47.5,Under,Win
NY Jets,New England,2024-01-02 12:11:15,18.687,19.115,37.802,0.488,0.512,17,3,20,New England,NY Jets,Loss,31.0,Over,Loss
Atlanta,New Orleans,2024-01-02 12:11:15,20.049,21.122,41.171,0.47,0.53,17,48,65,New Orleans,New Orleans,Win,41.5,Under,Loss
Jacksonville,Tennessee,2024-01-02 12:11:15,22.234,19.297,41.53,0.583,0.417,20,28,48,Jacksonville,Tennessee,Loss,39.5,Over,Win
Minnesota,Detroit,2024-01-02 12:11:16,23.41,24.858,48.269,0.459,0.541,20,30,50,Detroit,Detroit,Win,46.0,Over,Win
Cleveland,Cincinnati,2024-01-02 12:11:16,21.942,22.408,44.35,0.486,0.514,14,31,45,Cincinnati,Cincinnati,Win,38.5,Over,Win
Tampa Bay,Carolina,2024-01-02 12:11:16,21.608,19.202,40.81,0.567,0.433,9,0,9,Tampa Bay,Tampa Bay,Win,37.5,Over,Loss
LA Rams,San Francisco,2024-01-02 12:11:16,19.033,24.915,43.948,0.339,0.661,21,20,41,San Francisco,LA Rams,Loss,42.5,Over,Loss
Philadelphia,NY Giants,2024-01-02 12:11:16,25.699,20.13,45.829,0.653,0.347,10,27,37,Philadelphia,NY Giants,Loss,41.5,Over,Loss
Seattle,Arizona,2024-01-02 12:11:16,24.615,21.857,46.472,0.577,0.423,21,20,41,Seattle,Seattle,Win,48.0,Under,Win
Denver,Las Vegas,2024-01-02 12:11:16,20.619,21.863,42.482,0.465,0.535,14,27,41,Las Vegas,Las Vegas,Win,38.0,Over,Win
Kansas City,LA Chargers,2024-01-02 12:11:17,24.675,20.995,45.67,0.603,0.397,13,12,25,Kansas City,Kansas City,Win,36.0,Over,Loss
Chicago,Green Bay,2024-01-02 12:11:17,21.044,23.591,44.635,0.428,0.572,9,17,26,Green Bay,Green Bay,Win,44.0,Over,Loss
Dallas,Washington,2024-01-02 12:11:17,26.558,19.4,45.958,0.694,0.306,38,10,48,Dallas,Dallas,Win,44.0,Over,Win
Buffalo,Miami,2024-01-02 12:11:17,25.383,22.539,47.922,0.579,0.421,21,14,35,Buffalo,Buffalo,Win,50.5,Under,Win
