team_name_1,team_1_pf,team_1_pf_timestamp,team_1_pa,team_1_pa_timestamp,team_name_2,team_2_pf,team_2_pf_timestamp,team_2_pa,team_2_pa_timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_points,team_1_win_percentage,team_2_win_percentage
,,2024-06-18 11:17:49,,2024-06-18 11:18:05,,,2024-06-18 11:17:49,,2024-06-18 11:18:05,,,,,
,,2024-06-18 11:17:49,,2024-06-18 11:18:05,,,2024-06-18 11:17:49,,2024-06-18 11:18:05,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:05,,,2024-06-18 11:17:50,,2024-06-18 11:18:05,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:05,,,2024-06-18 11:17:50,,2024-06-18 11:18:05,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,2024-06-18 11:17:50,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:06,,,2024-06-18 11:17:51,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:06,,,2024-06-18 11:17:51,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:06,,,2024-06-18 11:17:51,,2024-06-18 11:18:06,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,2024-06-18 11:17:51,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,2024-06-18 11:17:52,,2024-06-18 11:18:07,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:08,,,2024-06-18 11:17:52,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:08,,,2024-06-18 11:17:52,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:52,,2024-06-18 11:18:08,,,2024-06-18 11:17:52,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,,,
,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,2024-06-18 11:17:53,,2024-06-18 11:18:08,,,,,
